order_id,date,region,manager,carrier,category,weight_kg,planned_days,delivery_days,cost_rub,revenue_rub,status
OP001,2024-01-03,Москва,Иванова,СДЭК,Электроника,12,3,3,4500,18000,Доставлен
OP002,2024-01-05,СПб,Петров,ПЭК,Оборудование,45,5,7,8200,32000,Задержан
OP003,2024-01-08,Казань,Сидорова,Деловые Линии,Одежда,8,4,4,3100,9500,Доставлен
OP004,2024-01-10,Москва,Иванова,СДЭК,Продукты,22,2,2,2800,7200,Доставлен
OP005,2024-01-12,Екб,Козлов,ПЭК,Электроника,18,4,6,6100,24000,Задержан
OP006,2024-01-15,СПб,Петров,СДЭК,Оборудование,60,6,6,9500,41000,Доставлен
OP007,2024-01-18,Новосибирск,Сидорова,Деловые Линии,Одежда,5,5,5,2400,8100,Доставлен
OP008,2024-01-20,Москва,Иванова,ПЭК,Продукты,30,3,5,4200,11000,Задержан
OP009,2024-01-22,Казань,Козлов,СДЭК,Электроника,15,3,3,5200,21000,Доставлен
OP010,2024-01-25,Екб,Петров,ПЭК,Оборудование,50,5,8,9100,38000,Задержан
OP011,2024-01-28,СПб,Сидорова,Деловые Линии,Одежда,7,4,4,2900,8800,Доставлен
OP012,2024-02-01,Москва,Иванова,СДЭК,Продукты,25,2,2,3100,8500,Доставлен
OP013,2024-02-03,Новосибирск,Козлов,ПЭК,Электроника,20,5,7,7200,28000,Задержан
OP014,2024-02-06,Казань,Петров,СДЭК,Оборудование,40,4,4,7800,35000,Доставлен
OP015,2024-02-08,Екб,Иванова,Деловые Линии,Одежда,6,3,3,2200,7400,Доставлен
OP016,2024-02-10,СПб,Сидорова,ПЭК,Продукты,35,4,6,5100,13000,Задержан
OP017,2024-02-13,Москва,Козлов,СДЭК,Электроника,14,3,3,4800,19500,Доставлен
OP018,2024-02-15,Новосибирск,Петров,Деловые Линии,Оборудование,55,6,9,10200,44000,Задержан
OP019,2024-02-18,Казань,Иванова,СДЭК,Одежда,9,4,4,3300,9200,Доставлен
OP020,2024-02-20,Екб,Сидорова,ПЭК,Продукты,28,3,3,3800,10000,Доставлен
OP021,2024-02-22,Москва,Козлов,СДЭК,Электроника,16,3,4,5100,20500,Задержан
OP022,2024-02-25,СПб,Петров,Деловые Линии,Оборудование,48,5,5,8800,39000,Доставлен
OP023,2024-02-28,Новосибирск,Иванова,ПЭК,Одежда,7,4,4,2600,8300,Доставлен
OP024,2024-03-02,Казань,Сидорова,СДЭК,Продукты,20,2,3,2900,7800,Задержан
OP025,2024-03-05,Екб,Козлов,Деловые Линии,Электроника,22,4,4,6300,25000,Доставлен
OP026,2024-03-08,Москва,Иванова,СДЭК,Оборудование,38,4,4,7200,33000,Доставлен
OP027,2024-03-10,СПб,Петров,ПЭК,Одежда,10,3,5,3500,9800,Задержан
OP028,2024-03-13,Новосибирск,Сидорова,Деловые Линии,Продукты,32,5,5,4400,11500,Доставлен
OP029,2024-03-15,Казань,Козлов,СДЭК,Электроника,17,3,3,5500,22000,Доставлен
OP030,2024-03-18,Екб,Иванова,ПЭК,Оборудование,52,6,9,10500,46000,Задержан
OP031,2024-03-20,Москва,Петров,СДЭК,Одежда,8,3,3,2700,8600,Доставлен
OP032,2024-03-22,СПб,Сидорова,Деловые Линии,Продукты,27,4,4,3600,9900,Доставлен
OP033,2024-03-25,Новосибирск,Козлов,ПЭК,Электроника,19,4,6,6800,27000,Задержан
OP034,2024-03-28,Казань,Иванова,СДЭК,Оборудование,42,5,5,8100,36000,Доставлен
OP035,2024-04-01,Екб,Петров,Деловые Линии,Одежда,6,3,3,2300,7700,Доставлен
OP036,2024-04-03,Москва,Сидорова,СДЭК,Продукты,24,2,2,3000,8200,Доставлен
OP037,2024-04-06,СПб,Козлов,ПЭК,Электроника,21,4,7,7500,29000,Задержан
OP038,2024-04-08,Новосибирск,Иванова,Деловые Линии,Оборудование,58,6,6,9800,43000,Доставлен
OP039,2024-04-10,Казань,Петров,СДЭК,Одежда,11,4,4,3400,9600,Доставлен
OP040,2024-04-12,Екб,Сидорова,ПЭК,Продукты,29,3,5,4100,10800,Задержан
OP041,2024-04-15,Москва,Козлов,СДЭК,Электроника,13,3,3,4600,18500,Доставлен
OP042,2024-04-18,СПб,Иванова,Деловые Линии,Оборудование,44,5,5,8400,37000,Доставлен
OP043,2024-04-20,Новосибирск,Петров,ПЭК,Одежда,8,4,6,3200,9100,Задержан
OP044,2024-04-22,Казань,Сидорова,СДЭК,Продукты,23,2,2,2700,7500,Доставлен
OP045,2024-04-25,Екб,Козлов,Деловые Линии,Электроника,24,4,4,6600,26000,Доставлен
OP046,2024-04-28,Москва,Иванова,СДЭК,Оборудование,36,4,4,6900,31000,Доставлен
OP047,2024-05-01,СПб,Петров,ПЭК,Одежда,9,3,5,3300,9300,Задержан
OP048,2024-05-03,Новосибирск,Сидорова,СДЭК,Продукты,31,4,4,4000,10500,Доставлен
OP049,2024-05-06,Казань,Козлов,Деловые Линии,Электроника,18,3,3,5400,21500,Доставлен
OP050,2024-05-08,Екб,Иванова,ПЭК,Оборудование,56,6,10,11200,48000,Задержан
OP051,2024-05-10,Москва,Петров,СДЭК,Одежда,7,3,3,2500,8000,Доставлен
OP052,2024-05-13,СПб,Сидорова,Деловые Линии,Продукты,26,4,4,3700,10100,Доставлен
OP053,2024-05-15,Новосибирск,Козлов,ПЭК,Электроника,20,4,7,7100,27500,Задержан
OP054,2024-05-18,Казань,Иванова,СДЭК,Оборудование,40,5,5,7600,34000,Доставлен
OP055,2024-05-20,Екб,Петров,Деловые Линии,Одежда,5,3,3,2100,7100,Доставлен
OP056,2024-05-22,Москва,Сидорова,СДЭК,Продукты,22,2,2,2900,7900,Доставлен
OP057,2024-05-25,СПб,Козлов,ПЭК,Электроника,19,4,6,6900,26500,Задержан
OP058,2024-05-28,Новосибирск,Иванова,Деловые Линии,Оборудование,62,6,6,10100,45000,Доставлен
OP059,2024-06-01,Казань,Петров,СДЭК,Одежда,10,4,4,3200,9000,Доставлен
OP060,2024-06-03,Екб,Сидорова,ПЭК,Продукты,28,3,4,3900,10300,Задержан
